created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 20 01:52:20 +0000 2022;1594146593707806721;"wardah set the standard way too high 🥲 gel cleanser with hydrating finish cuma 23rb buat 100ml tuh.. sedekah  DAN GUE COCOK? another best achievement sih, btw gue oily acne prone ges buat kalian yg bokek2 pake cleanser ini aja dah https://t.co/HrKTTyvAZ4";310;173;406;3642;in;1144085647860195329;1594146593707806721;cicamatcha;https://twitter.com/cicamatcha/status/1594146593707806721
Wed Nov 09 11:39:50 +0000 2022;1590308175399776257;"Watsons menggila.. Skincare Wardah semua bawah RM10???  Scrub RM5.90 Moisturizer RM9.60 Toner RM8.90 Clay mask RM7.20 Cleanser RM9.90 Day &amp  Night Cream RM15.90 https://t.co/UzdOXavCkl";51;6;334;906;in;1173590328504246272;1590308175399776257;JalanCutiSantai;https://twitter.com/JalanCutiSantai/status/1590308175399776257
Sat Oct 29 12:13:10 +0000 2022;1586330300929359873;"Kenapa tak viral viral lagi Wardah Colorfit Cushion ni???!!  Smooth and glowy je finish dia cantik weh macam pakai foundation mahal 😭  Cuma satu je... https://t.co/MP23Hnm4Fc";274;31;1318;5329;in;378511517;1586330300929359873;hannabunnyb;https://twitter.com/hannabunnyb/status/1586330300929359873
Tue Oct 11 08:00:08 +0000 2022;1579743640796045313;"[bb] aku skrg pake wardah yg 0rEEnN kusam sekali🥲🥲 https://t.co/D3GbBULZN6";275;1880;1685;14009;in;994801274091687936;1579743640796045313;ohmybeautybank;https://twitter.com/ohmybeautybank/status/1579743640796045313
Fri Oct 07 09:06:44 +0000 2022;1578310848573247489;"Cakap pasal wardah, rugi ye siapa tak try lagi face mist ni. Anyone kulit selalu kering tu kena try.  Everytime spray skin rasa moist and glowy je besttt gila trust me 😭 https://t.co/sdrLM3VYTs";61;13;365;1295;in;936969084;1578310848573247489;Nurintashaa;https://twitter.com/Nurintashaa/status/1578310848573247489
Fri Oct 07 04:42:39 +0000 2022;1578244389960548354;"Shades yang i suka for wardah matte lip mouse.  Paling fav mesti la 08, brown creator. Wardah ni murah tapi texture dia best, ringan and tak buat lips i kering ❤️ https://t.co/tow0aT4oeQ";106;22;1256;4534;in;936969084;1578244389960548354;Nurintashaa;https://twitter.com/Nurintashaa/status/1578244389960548354
Thu Oct 06 16:46:49 +0000 2022;1578064243269566464;"Alang alang tengah up pasal brand Indonesia, kat sini aku nak share brown/ reddish brown lip product dari Wardah yang aku suka. https://t.co/jyV7JZAzOU";246;9;2654;7153;in;1020934317785079808;1578064243269566464;nabilfikran10;https://twitter.com/nabilfikran10/status/1578064243269566464
Thu Oct 06 07:56:12 +0000 2022;1577930711406764032;"Aku faham je local brand production sikit, sebab tu harga jual mahal.   Tapi kenapa product local Indonesia murah nak mampus, Emina dgn Wardah tu masuk Malaysia harga belas ringgit je. Produk local lipstick je RM59 ale uto la.";539;79;5836;10349;in;1020934317785079808;1577930711406764032;nabilfikran10;https://twitter.com/nabilfikran10/status/1577930711406764032
Mon Sep 26 13:16:53 +0000 2022;1574387532657106944;"#WardahGoesToKWave giveaway part 2!✨  As your wish weauties, Wardah masih bakal bagi-bagi 5 tiket superfestival K-Wave buat kamu!   Yuk, merapat dan simak cara ikutannya! Sebelumnya jangan lupa like dan retweet tweet ini ya😉 https://t.co/b1L12l1Qhr";74;718;1099;1590;in;198385937;1574387532657106944;wardahbeauty;https://twitter.com/wardahbeauty/status/1574387532657106944
Wed Sep 07 03:22:21 +0000 2022;1567352545898790912;"Wait! Kenapa i takpernah tahu facemist wardah ni palingggg best! I baru pakai 3minggu dah habis 😭 Tak ada botol besar keeeeee 😭  I nak repeat lagi, sebab dah licin botol first! Suka sebab makeup stay lama, lepas tu dia buat muka you macam glowing ke, licin ke tkthulah nak ckp! https://t.co/n9b2Bq2am8";109;19;583;2131;in;1605672847;1567352545898790912;Chapienat;https://twitter.com/Chapienat/status/1567352545898790912
